Name,Task,Phase,Trial,Leg,StartTime,EndTime
280,Training,Rotation,L 90,NA,2023-10-06T02:17:32Z,2023-10-06T02:17:48Z
280,Training,Transition,NA,NA,2023-10-06T02:17:48Z,2023-10-06T02:17:53Z
280,Training,Rotation,Returning L 90,NA,2023-10-06T02:17:53Z,2023-10-06T02:18:05Z
280,Training,Transition,NA,NA,2023-10-06T02:18:05Z,2023-10-06T02:18:09Z
280,Training,Rotation,R 45,NA,2023-10-06T02:18:09Z,2023-10-06T02:18:19Z
280,Training,Transition,NA,NA,2023-10-06T02:18:19Z,2023-10-06T02:18:22Z
280,Training,Rotation,Returning R 45,NA,2023-10-06T02:18:22Z,2023-10-06T02:18:30Z
280,Training,Transition,NA,NA,2023-10-06T02:18:30Z,2023-10-06T02:18:50Z
280,Training,Movement,1,NA,2023-10-06T02:18:50Z,2023-10-06T02:19:06Z
280,Training,Transition,NA,NA,2023-10-06T02:19:06Z,2023-10-06T02:19:06Z
280,Training,Movement,2,NA,2023-10-06T02:19:06Z,2023-10-06T02:19:26Z
280,Training,Transition,NA,NA,2023-10-06T02:19:26Z,2023-10-06T02:19:28Z
280,Training,Movement,3,NA,2023-10-06T02:19:28Z,2023-10-06T02:19:43Z
280,Training,Transition,NA,NA,2023-10-06T02:19:43Z,2023-10-06T02:19:43Z
280,Training,Movement,4,NA,2023-10-06T02:19:43Z,2023-10-06T02:19:59Z
280,Training,Transition,NA,NA,2023-10-06T02:19:59Z,2023-10-06T02:20:27Z
280,Training,HomingMultiLegs,T1.L1,NA,2023-10-06T02:20:27Z,2023-10-06T02:20:27Z
280,Training,Transition,NA,NA,2023-10-06T02:20:27Z,2023-10-06T02:20:53Z
280,Training,HomingMultiLegs,T1.L2,NA,2023-10-06T02:20:53Z,2023-10-06T02:20:53Z
280,Training,Transition,NA,NA,2023-10-06T02:20:53Z,2023-10-06T02:21:27Z
280,Training,HomingMultiLegs,T1.L3,NA,2023-10-06T02:21:27Z,2023-10-06T02:21:27Z
280,Training,Transition,NA,NA,2023-10-06T02:21:27Z,2023-10-06T02:22:38Z
